,Case Number,Year,Country,Activity,Sex,Age,Fatal (Y/N)
372,2013.12.05,2013,AUSTRALIA,Surfing,M,26.0,N
373,2013.12.02,2013,USA,Kayaking / Fishing,M,57.0,Y
374,2013.11.30,2013,AUSTRALIA,Body boarding,M,19.0,Y
375,2013.11.29,2013,USA,Snorkeling,F,58.0,N
376,2013.11.23.a,2013,AUSTRALIA,Surfing,M,35.0,Y
377,2013.11.22,2013,USA,Surfing,M,25.0,N
378,2013.11.12,2013,AUSTRALIA,Surfing,M,,N
379,2013.11.10,2013,BAHAMAS,Shark fishing,M,77.0,N
380,2013.11.07.b,2013,USA,Body boarding,M,16.0,N
381,2013.11.07.a,2013,USA,Surfing,M,,N
382,2013.10.31,2013,USA,Kiteboarding,M,46.0,N
383,2013.10.28,2013,AUSTRALIA,Snorkeling,F,60.0,N
384,2013.10.26.b,2013,REUNION,Body boarding,M,24.0,N
385,2013.10.26.a,2013,AUSTRALIA,Diving for crayfish,M,,N
386,2013.10.24,2013,AUSTRALIA,Surfing,M,41.0,N
387,2013.10.23,2013,USA,Diving ,M,45.0,N
388,2013.10.20,2013,USA,Surfing,M,25.0,N
389,2013.10.19,2013,USA,Wading,M,6.0,N
390,2013.10.11,2013,SOUTH AFRICA,Swimming / snorkeling,M,74.0,Y
391,2013.10.08,2013,AUSTRALIA,Diving for Abalone,M,55.0,N
392,2013.10.05,2013,USA,Surfing,M,45.0,N
393,2013.10.05,2013,USA,Wading,M,12.0,N
394,2013.09.29.b,2013,USA,Surfing,M,50.0,N
395,2013.09.29.a,2013,ISRAEL,Diving,M,27.0,N
396,2013.09.25,2013,USA,Standing,M,7.0,N
397,2013.09.21.b,2013,USA,Swimming,M,45.0,N
398,2013.09.21.a,2013,USA,Surfing,M,,N
399,2013.09.14,2013,USA,Swimming,M,21.0,N
400,2013.09.12,2013,USA,Surfing,F,13.0,N
401,2013.09.08,2013,USA,,F,,UNKNOWN
402,2013.09.07.b,2013,USA,Surfing,M,43.0,N
403,2013.09.07.a,2013,USA,Standing,M,25.0,N
