,Country,Year,Hemisphere,Season,Date,Case Number,Fatal (Yes/No),pdf,href formula
146,USA,2015,Northern Hemisphere,Summer,06-Sep-15,2015.09.06,N,2015.09.06-Gennaro.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.06-Gennaro.pdf
147,USA,2015,Northern Hemisphere,Summer,05-Sep-15,2015.09.05,N,2015.09.05-Marks.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.05-Marks.pdf
148,AUSTRALIA,2015,Southern Hemisphere,Winter,04-Sep-15,2015.09.04,N,2015.09.04-Quinliven.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.04-Quinliven.pdf
149,USA,2015,Northern Hemisphere,Summer,03-Sep-15,2015.09.03,N,2015.09.03-Wagner.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.03-Wagner.pdf
150,THAILAND,2015,Northern Hemisphere,Summer,01-Sep-15,2015.09.01,N,2015.09.01-Neame.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.01-Neame.pdf
151,FIJI,2015,Southern Hemisphere,Winter,Sep-15,2015.09.00,N,2015.09.00-Lautiki.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.00-Lautiki.pdf
152,USA,2015,Northern Hemisphere,Summer,29-Aug-15,2015.08.29.b,N,2015.08.29.b-Dempsey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.29.b-Dempsey.pdf
153,USA,2015,Northern Hemisphere,Summer,29-Aug-15,2015.08.29.a,N,2015.08.29.a-Phillips.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.29.a-Phillips.pdf
154,USA,2015,Northern Hemisphere,Summer,22-Aug-15,2015.08.22.b,N,2015.08.22.b-CocoaBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.22.b-CocoaBeach.pdf
155,AUSTRALIA,2015,Southern Hemisphere,Winter,22-Aug-15,2015.08.22.a,N,2015.08.22.a-Carr.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.22.a-Carr.pdf
156,USA,2015,Northern Hemisphere,Summer,20-Aug-15,2015.08.20,N,2015.08.20-Peyton.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.20-Peyton.pdf
157,USA,2015,Northern Hemisphere,Summer,19-Aug-15,2015.08.19,N,2015.08.19-Szsarmack,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.19-Szsarmack
158,USA,2015,Northern Hemisphere,Summer,18-Aug-15,2015.08.18.b,N,2015.08.18.b-Lyon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.18.b-Lyon.pdf
159,SPAIN,2015,Northern Hemisphere,Summer,18-Aug-15,2015.08.18.a,N,2015.08.18.a-Benidorm.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.18.a-Benidorm.pdf
160,USA,2015,Northern Hemisphere,Summer,10-Aug-15,2015.08.10,N,2015.08.10-Shafer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.10-Shafer.pdf
161,AUSTRALIA,2015,Southern Hemisphere,Winter,31-Jul-15,2015.07.31,N,2015.07.31-Ison.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.31-Ison.pdf
162,USA,2015,Northern Hemisphere,Summer,26-Jul-15,2015.07.26.b,N,2015.07.26.b-Warrilow.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.26.b-Warrilow.pdf
163,USA,2015,Northern Hemisphere,Summer,26-Jul-15,2015.07.26.a,N,2015.07.26.a-Edisto.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.26.a-Edisto.pdf
164,AUSTRALIA,2015,Southern Hemisphere,Winter,25-Jul-15,2015.07.25,Y,2015.07.25-Johnson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.25-Johnson.pdf
165,USA,2015,Northern Hemisphere,Summer,23-Jul-15,2015.07.23.b,N,2015.07.23.b-Lorber.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.23.b-Lorber.pdf
166,AUSTRALIA,2015,Southern Hemisphere,Winter,23-Jul-15,2015.07.23.a,N,2015.07.23.a-Victoria.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.23.a-Victoria.pdf
167,REUNION,2015,Southern Hemisphere,Winter,22-Jul-15,2015.07.22,N,2015.07.22-Arrieguy.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.22-Arrieguy.pdf
168,SOUTH AFRICA,2015,Southern Hemisphere,Winter,19-Jul-15,2015.07.19,N,2015.07.19-Fanning.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.19-Fanning.pdf
170,USA,2015,Northern Hemisphere,Summer,08-Jul-15,2015.07.08,N,2015.07.08-Finney.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.08-Finney.pdf
171,FRENCH POLYNESIA,2015,Southern Hemisphere,Winter,06-Jul-15,2015.07.06,N,2015.07.06-Termini.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.06-Termini.pdf
172,BAHAMAS,2015,Northern Hemisphere,Summer,04-Jul-15,2015.07.04.b,N,2015.07.04.b-Hester.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.04.b-Hester.pdf
173,USA,2015,Northern Hemisphere,Summer,04-Jul-15,2015.07.04.a,N,2015.07.04.a-Marine.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.04.a-Marine.pdf
174,AUSTRALIA,2015,Southern Hemisphere,Winter,03-Jul-15,2015.07.03,N,2015.07.03-Hoile.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.03-Hoile.pdf
175,AUSTRALIA,2015,Southern Hemisphere,Winter,02-Jul-15,2015.07.02,N,2015.07.02-Matt-Lee.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.02-Matt-Lee.pdf
176,USA,2015,Northern Hemisphere,Summer,01-Jul-15,2015.07.01,N,2015.07.01-Costello.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.01-Costello.pdf
177,AUSTRALIA,2015,Southern Hemisphere,Fall,30-Jun-15,2015.06.30.b,N,2015.06.30.b-Steve.pf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.30.b-Steve.pf
178,USA,2015,Northern Hemisphere,Spring,30-Jun-15,2015.06.30.a,N,2015.06.30.a.pdf-Weakley.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.30.a.pdf-Weakley.pdf
179,USA,2015,Northern Hemisphere,Spring,27-Jun-15,2015.06.27.b,N,2015.06.27.b-Rodanthe.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.27.b-Rodanthe.pdf
181,USA,2015,Northern Hemisphere,Spring,26-Jun-15,2015.06.26.c,N,2015.06.26.c-Jacksonville.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.26.c-Jacksonville.pdf
182,SOUTH AFRICA,2015,Southern Hemisphere,Fall,26-Jun-15,2015.06.26.b,N,2015.06.26.b-Reddering.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.26.b-Reddering.pdf
183,USA,2015,Northern Hemisphere,Spring,26-Jun-15,2015.06.26.a,N,2015.06.26.a-Donahue.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.26.a-Donahue.pdf
184,AUSTRALIA,2015,Southern Hemisphere,Fall,Reported 25-Jun-2015,2015.06.25.R,N,2015.06.25.R-Stephen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.25.R-Stephen.pdf
185,USA,2015,Northern Hemisphere,Spring,25-Jun-15,2015.06.25,N,2015.06.25-Avon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.25-Avon.pdf
186,USA,2015,Northern Hemisphere,Spring,24-Jun-15,2015.06.24.b,N,2015.06.24.b-Noyes.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.24.b-Noyes.pdf
187,AUSTRALIA,2015,Southern Hemisphere,Fall,24-Jun-15,2015.06.24.a,N,2015.06.24.a-Kumpe.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.24.a-Kumpe.pdf
188,USA,2015,Northern Hemisphere,Spring,23-Jun-15,2015.06.23,N,2015.06.23-Davenport.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.23-Davenport.pdf
189,PUERTO RICO,2015,Northern Hemisphere,Spring,19-Jun-15,2015.06.19,N,2015.06.19-Rios.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.19-Rios.pdf
190,USA,2015,Northern Hemisphere,Spring,17-Jun-15,2015.06.17,N,2015.06.17-Simpson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.17-Simpson.pdf
191,USA,2015,Northern Hemisphere,Spring,14-Jun-15,2015.06.14.b,N,2015.06.14.b-Treschel.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.14.b-Treschel.pdf
192,USA,2015,Northern Hemisphere,Spring,14-Jun-15,2015.06.14.a,N,2015.06.14.a-Yow.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.14.a-Yow.pdf
194,USA,2015,Northern Hemisphere,Spring,11-Jun-15,2015.06.11,N,2015.06.11-OceanIsle.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.11-OceanIsle.pdf
195,USA,2015,Northern Hemisphere,Spring,07-Jun-15,2015.06.07,N,2015.06.07-Vertullo.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.07-Vertullo.pdf
196,USA,2015,Northern Hemisphere,Spring,05-Jun-15,2015.06.05,N,2015.06.05-FortLauderdale.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.05-FortLauderdale.pdf
197,REUNION,2015,Southern Hemisphere,Fall,01-Jun-15,2015.06.01,N,2015.06.01-Chaussalet.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.01-Chaussalet.pdf
198,USA,2015,Northern Hemisphere,Spring,29-May-15,2015.05.29.b,N,2015.05.29.b-Gilpin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.05.29.b-Gilpin.pdf
199,USA,2015,Northern Hemisphere,Spring,29-May-15,2015.05.29.a,N,2015.05.29.a-Hatfield.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.05.29.a-Hatfield.pdf
200,FRENCH POLYNESIA,2015,Southern Hemisphere,Fall,25-May-15,2015.05.25,N,2015.05.25-Rangiroa.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.05.25-Rangiroa.pdf
201,USA,2015,Northern Hemisphere,Spring,24-May-15,2015.05.24,N,2015.05.24-Wheatro.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.05.24-Wheatro.pdf
202,USA,2015,Northern Hemisphere,Spring,20-May-15,2015.05.20,N,2015.05.20-Zaccaria.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.05.20-Zaccaria.pdf
203,USA,2015,Northern Hemisphere,Spring,15-May-15,2015.05.15,N,2015.05.15-Sullivans.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.05.15-Sullivans.pdf
204,NEW CALEDONIA,2015,Southern Hemisphere,Fall,09-May-15,2015.05.09,Y,2015.05.09-Berthelot.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.05.09-Berthelot.pdf
205,USA,2015,Northern Hemisphere,Spring,07-May-15,2015.05.07,N,2015.05.07-Green.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.05.07-Green.pdf
206,AUSTRALIA,2015,Southern Hemisphere,Fall,03-May-15,2015.05.03,N,2015.05.03-Lucas.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.05.03-Lucas.pdf
207,SOUTH AFRICA,2015,Southern Hemisphere,Fall,02-May-15,2015.05.02,N,2015.05.02-Dasnois.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.05.02-Dasnois.pdf
208,USA,2015,Northern Hemisphere,Spring,29-Apr-15,2015.04.29,Y,2015.04.29-Cruse.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.04.29-Cruse.pdf
209,USA,2015,Northern Hemisphere,Spring,26-Apr-15,2015.04.26,N,2015.04.26-Jessen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.04.26-Jessen.pdf
210,AUSTRALIA,2015,Southern Hemisphere,Fall,25-Apr-15,2015.04.25,N,2015.04.25-Blowes.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.04.25-Blowes.pdf
211,AUSTRALIA,2015,Southern Hemisphere,Fall,24-Jun-15,2015.04.24.c,N,2015.04.24.c-Vidgens.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.04.24.c-Vidgens.pdf
212,USA,2015,Northern Hemisphere,Spring,13-Apr-15,2015.04.13,N,2015.04.13-Rackley.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.04.13-Rackley.pdf
213,AUSTRALIA,2015,Southern Hemisphere,Fall,11-Apr-15,2015.04.11,N,2015.04.11-McKenzie-Surfer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.04.11-McKenzie-Surfer.pdf
214,REUNION,2015,Southern Hemisphere,Fall,12-Apr-15,2015.04.12,Y,2015.04.12-Canestri.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.04.12-Canestri.pdf
215,BRAZIL,2015,Southern Hemisphere,Summer,31-Mar-15,2015.03.31,N,2015.03.31-Mota.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.03.31-Mota.pdf
216,USA,2015,Northern Hemisphere,Spring,03-Apr-15,2015.04.03,N,2015.04.03-Neumann.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.04.03-Neumann.pdf
217,ITALY,2015,Northern Hemisphere,Winter,29-Mar-15,2015.03.29,Y,2015.03.29-Masala.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.03.29-Masala.pdf
218,SOUTH AFRICA,2015,Southern Hemisphere,Summer,26-Mar-15,2015.03.26,N,2015.03.26-VanRensburg.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.03.26-VanRensburg.pdf
219,EGYPT,2015,Northern Hemisphere,Winter,21-Mar-15,2015.03.21,Y,2015.03.21-Egypt.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.03.21-Egypt.pdf
220,USA,2015,Northern Hemisphere,Winter,18-Mar-15,2015.03.18,N,2015.03.18-Grasing.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.03.18-Grasing.pdf
221,FRENCH POLYNESIA,2015,Southern Hemisphere,Summer,16-Mar-15,2015.03.16,N,2015.03.16-Bora-Bora.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.03.16-Bora-Bora.pdf
222,AUSTRALIA,2015,Southern Hemisphere,Summer,11-Mar-15,2015.03.11,N,2015.03.11-Graham.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.03.11-Graham.pdf
223,MEXICO,2015,Northern Hemisphere,Winter,10-Mar-15,2015.03.10,N,2015.03.10-Mora.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.03.10-Mora.pdf
224,FRENCH POLYNESIA,2015,Southern Hemisphere,Summer,07-Mar-15,2015.03.07,N,2015.03.07-18-month.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.03.07-18-month.pdf
225,,2015,nan,Summer,15-Feb-15,2015.02.15,N,2015.02.15-Avalon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.02.15-Avalon.pdf
226,REUNION,2015,Southern Hemisphere,Summer,14-Feb-15,2015.02.14,Y,2015.02.14-Bishop.pdf ,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.02.14-Bishop.pdf 
227,AUSTRALIA,2015,Southern Hemisphere,Summer,09-Feb-15,2015.02.09,Y,2015.02.09-Nakahara.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.02.09-Nakahara.pdf
228,AUSTRALIA,2015,Southern Hemisphere,Summer,08-Feb-15,2015.02.08,N,2015.02.08-Reitman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.02.08-Reitman.pdf
229,AUSTRALIA,2015,Southern Hemisphere,Summer,05-Feb-15,2015.02.05,N,2015.02.05-McPhee.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.02.05-McPhee.pdf
230,AUSTRALIA,2015,Southern Hemisphere,Summer,30-Jan-15,2015.01.30,N,2015.01.20-Carter.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.20-Carter.pdf
231,USA,2015,Northern Hemisphere,Winter,27-Jan-15,2015.01.27,N,2015.01.27-Pollard.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.27-Pollard.pdf
233,USA,2015,Northern Hemisphere,Winter,19-Jan-15,2015.01.19.b,N,2015.01.19.b-Fitzgerald-boat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.19.b-Fitzgerald-boat.pdf
234,AUSTRALIA,2015,Southern Hemisphere,Summer,19-Jan-15,2015.01.19.a,N,2015.01.19.a-Ellis.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.19.a-Ellis.pdf
235,AUSTRALIA,2015,Southern Hemisphere,Summer,17-Jan-15,2015.01.17,N,2015.01.17-Watson-Tinny.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.17-Watson-Tinny.pdf
236,AUSTRALIA,2015,Southern Hemisphere,Summer,16-Jan-15,2015.01.16,N,2015.01.16-Smith.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.16-Smith.pdf
237,USA,2015,Northern Hemisphere,Winter,08-Jan-15,2015.01.08,N,2015.01.08-Konrad.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.08-Konrad.pdf
238,BAHAMAS,2015,Northern Hemisphere,Winter,06-Jan-15,2015.01.06,N,2015.01.06-Webb-Martin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.06-Webb-Martin.pdf
239,SOUTH AFRICA,2015,Southern Hemisphere,Summer,03-Jan-15,2015.01.03,N,2015.01.03-Krafft.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.03-Krafft.pdf
240,USA,2015,Northern Hemisphere,Winter,01-Jan-15,2015.01.01,N,2015.01.01-Child.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.01-Child.pdf
241,AUSTRALIA,2014,Southern Hemisphere,Spring,29-Dec-14,2014.12.29.b,N,2014.12.29.b-Brown.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/N56702014.12.29.b-Brown.pdf
242,AUSTRALIA,2014,Southern Hemisphere,Spring,29-Dec-14,2014.12.29.a,Y,2014.12.29.a-Muscat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.12.29.a-Muscat.pdf
243,GREECE,2014,Northern Hemisphere,Fall,28-Dec-14,2014.12.28.d,N,2014.12.28.d-NormanAtlantic.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.12.28.d-NormanAtlantic.pdf
244,SOUTH AFRICA,2014,Southern Hemisphere,Spring,28-Dec-14,2014.12.28.c,N,2014.12.28.c-Durban.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.12.28.c-Durban.pdf
245,USA,2014,Northern Hemisphere,Fall,28-Dec-14,2014.12.28.b,N,2014.12.28.b-Swanson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.12.28.b-Swanson.pdf
246,AUSTRALIA,2014,Southern Hemisphere,Spring,28-Dec-14,2014.12.28.a,N,2014.12.28.a-ParadiseBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.12.28.a-ParadiseBeach.pdf
247,JAPAN,2014,Northern Hemisphere,Fall,Reported 23-Dec-2014,2014.12.23.R,N,2014.12.23.R-GoblinShark.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.12.23.R-GoblinShark.pdf
248,AUSTRALIA,2014,Southern Hemisphere,Spring,15-Dec-14,2014.12.15,Y,2014.12.15-DanielSmith.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.12.15-DanielSmith.pdf
249,SPAIN,2014,Northern Hemisphere,Fall,Reported 03-Dec-2014,2014.12.03.R,N,2014.12.03.R-Spanish-fisherman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.12.03.R-Spanish-fisherman.pdf
250,AUSTRALIA,2014,Southern Hemisphere,Spring,29-Nov-14,2014.11.29,N,2014.11.29-Pearman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.11.29-Pearman.pdf
251,MAURITIUS,2014,Southern Hemisphere,Spring,20-Nov-14,2014.11.20,Y,2014.11.20-Mauritius.pdf ,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.11.20-Mauritius.pdf 
252,AUSTRALIA,2014,Southern Hemisphere,Spring,19-Nov-14,2014.11.19,N,2014.11.19-Freo.pdf ,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.11.19-Freo.pdf 
253,USA,2014,Northern Hemisphere,Fall,16-Nov-14,2014.11.16,N,2014.11.16-IndianHarbor.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.11.16-IndianHarbor.pdf
254,USA,2014,Northern Hemisphere,Fall,Reported 17-Nov-2014,2014.11.17,N,2014.11.17-CA-Fishermen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.11.17-CA-Fishermen.pdf
255,USA,2014,Northern Hemisphere,Fall,13-Nov-14,2014.11.13,N,2014.11.13-Hawaii.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.11.13-Hawaii.pdf
256,AUSTRALIA,2014,Southern Hemisphere,Spring,10-Nov-14,2014.11.10,N,2014.11.10-Moonee.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.11.10-Moonee.pdf
257,USA,2014,Northern Hemisphere,Fall,08-Nov-14,2014.11.08,N,2014.11.08-FortPierce.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.11.08-FortPierce.pdf
258,USA,2014,Northern Hemisphere,Fall,31-Oct-14,2014.10.31,N,2014.10.31-Clark.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.31-Clark.pdf
259,AUSTRALIA,2014,Southern Hemisphere,Spring,29-Oct-14,2014.10.30,N,2014.10.29-Hunt.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.29-Hunt.pdf
260,USA,2014,Northern Hemisphere,Fall,22-Oct-14,2014.10.22,N,2014.10.22-Lawrence.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.22-Lawrence.pdf
261,USA,2014,Northern Hemisphere,Fall,20-Oct-14,2014.10.20,N,2014.10.20-Maui.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.20-Maui.pdf
265,USA,2014,Northern Hemisphere,Fall,14-Oct-14,2014.10.14,N,2014.10.14-Bandy.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.14-Bandy.pdf
266,USA,2014,Northern Hemisphere,Fall,12-Oct-14,2014.10.12,N,2014.10.12-Melbourne.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.12-Melbourne.pdf
267,USA,2014,Northern Hemisphere,Fall,07-Oct-14,2014.10.07,N,2014.10.07-CherieDownPark.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.07-CherieDownPark.pdf
268,AUSTRALIA,2014,Southern Hemisphere,Spring,11-Oct-14,2014.10.11,N,2014.10.11-Dunsborough.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.11-Dunsborough.pdf
269,USA,2014,Northern Hemisphere,Fall,05-Oct-14,2014.10.05.b,N,2014.10.05.b-Ross.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.05.b-Ross.pdf
270,USA,2014,Northern Hemisphere,Fall,05-Oct-14,2014.10.05.a,N,2014.10.05.a-Mantooth.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.05.a-Mantooth.pdf
273,USA,2014,Northern Hemisphere,Fall,02-Oct-14,2014.10.02.b,N,2014.10.02.b-Vandenberg.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.02.b-Vandenberg.pdf
274,AUSTRALIA,2014,Southern Hemisphere,Spring,02-Oct-14,2014.10.02.a,N,2014.10.02.a-Pollard.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.02.a-Pollard.pdf
275,USA,2014,Northern Hemisphere,Summer,21-Sep-14,2014.09.21,N,2014.09.21-Lefebvre.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.21-Lefebvre.pdf
276,FRENCH POLYNESIA,2014,Southern Hemisphere,Winter,Reported 12-Sep-2014,2014.09.13.R,N,2014.09.12.R-Moorea.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.12.R-Moorea.pdf
277,USA,2014,Northern Hemisphere,Summer,13-Sep-14,2014.09.13,N,2014.09.13-Browning.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.13-Browning.pdf
278,AUSTRALIA,2014,Southern Hemisphere,Winter,09-Sep-14,2014.09.09,Y,2014.09.09-Wilcox.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.09-Wilcox.pdf
279,USA,2014,Northern Hemisphere,Summer,06-Sep-14,2014.09.06,N,2014.09.06-Robson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.06-Robson.pdf
280,USA,2014,Northern Hemisphere,Summer,03-Sep-14,2014.09.03,N,2014.09.03-Plymouthkayakers.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.03-Plymouthkayakers.pdf
281,USA,2014,Northern Hemisphere,Summer,02-Sep-14,2014.09.02,N,2014.09.02-FletcherBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.02-FletcherBeach.pdf
282,SPAIN,2014,Northern Hemisphere,Summer,Sep-14,2014.09.00,N,2014.09.00-Salou.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.00-Salou.pdf
283,USA,2014,Northern Hemisphere,Summer,31-Aug-14,2014.08.31,N,2014.08.31-Masterson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.31-Masterson.pdf
284,USA,2014,Northern Hemisphere,Summer,29-Aug-14,2014.08.29.b,N,2014.08.29.b-Murphy.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.29.b-Murphy.pdf
285,USA,2014,Northern Hemisphere,Summer,29-Aug-14,2014.08.29.a,N,2014.08.29.a-AtlanticBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.29.a-AtlanticBeach.pdf
286,USA,2014,Northern Hemisphere,Summer,28-Aug-14,2014.08.28,N,2014.08.28-Vickers.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.28-Vickers.pdf
287,SPAIN,2014,Northern Hemisphere,Summer,27-Aug-14,2014.08.27.c,N,2014.08.27.c-Spain.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.27.c-Spain.pdf
