,Country,Year,Hemisphere,Season,Date,Case Number,Fatal (Yes/No),pdf,href formula
4225,SOUTH AFRICA,1951,Southern Hemisphere,Summer,21-Jan-51,1951.01.21,Y,1951.01.21-Nkwazi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.01.21-Nkwazi.pdf
4226,AUSTRALIA,1951,Southern Hemisphere,Summer,03-Jan-51,1951.01.03,Y,1951.01.03-HawkesburyRiver.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.01.03-HawkesburyRiver.pdf
4227,NEW GUINEA,1951,Southern Hemisphere,1951,1951,1951.00.00,Y,1951.00.00-ManamIsland.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.00.00-ManamIsland.pdf
4228,AUSTRALIA,1950,Southern Hemisphere,Spring,31-Dec-50,1950.12.31,N,1950.12.31-oar.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.12.31-oar.pdf
4229,AUSTRALIA,1950,Southern Hemisphere,Spring,Reported 19-Dec-1950,1950.12.19.R,N,1950.12.19.R-JervisBay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.12.19.R-JervisBay.pdf
4230,AUSTRALIA,1950,Southern Hemisphere,Spring,16-Dec-50,1950.12.16,Y,1950.12.16-Quinlan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.12.16-Quinlan.pdf
4231,AUSTRALIA,1950,Southern Hemisphere,Spring,29-Nov-50,1950.11.29,N,1950.11.29-Irrwala.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.11.29-Irrwala.pdf
4232,AUSTRALIA,1950,Southern Hemisphere,Spring,25-Nov-50,1950.11.25,N,1950.11.25-LeoVincentRyan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.11.25-LeoVincentRyan.pdf
4233,AUSTRALIA,1950,Southern Hemisphere,Spring,12-Nov-50,1950.11.12,N,1950.11.12-canoe.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.11.12-canoe.pdf
4234,USA,1950,Northern Hemisphere,Fall,28-Oct-50,1950.10.08,N,1950.10.08-Campbell-Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.10.08-Campbell-Collier.pdf
4235,AUSTRALIA,1950,Southern Hemisphere,Spring,04-Oct-50,1950.10.04,N,1950.10.04-Sichter.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.10.04-Sichter.pdf
4236,EL SALVADOR,1950,Northern Hemisphere,Summer,06-Aug-50,1950.08.06,N,1950.08.06-Bottini.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.08.06-Bottini.pdf
4237,SAUDI ARABIA,1950,Northern Hemisphere,Summer,Aug-50,1950.08.00,N,1950.08.00-PearlDiver-Arabia.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.08.00-PearlDiver-Arabia.pdf
4238,AUSTRALIA,1950,Southern Hemisphere,Winter,Reported 27-Jul-1950,1950.07.27.R,N,1950.07.27.R-Horsell-boat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.07.27.R-Horsell-boat.pdf
4239,JAPAN,1950,Northern Hemisphere,Summer,21-Jul-50,1950.07.21,Y,1950.07.21-Japan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.07.21-Japan.pdf
4240,ITALY,1950,Northern Hemisphere,1950.07.19,1950.07.19,1950.07.19,N,1950.07.19-Albenga.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.07.19-Albenga.pdf
4241,CUBA,1950,Northern Hemisphere,Summer,15-Jul-50,1950.07.14,N,1950.07.14-Loekstad.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.07.14-Loekstad.pdf
4242,USA,1950,Northern Hemisphere,Summer,10-Jul-50,1950.07.10,N,1950.07.10-Majors.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.07.10-Majors.pdf
4243,USA,1950,Northern Hemisphere,Summer,09-Jul-50,1950.07.09,Y,1950.07.09-Galveston.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.07.09-Galveston.pdf
4244,USA,1950,Northern Hemisphere,Summer,Jul-50,1950.07.00,N,1950.07.00-Rathjen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.07.00-Rathjen.pdf
4245,USA,1950,Northern Hemisphere,Spring,25-Jun-50,1950.06.25,N,1950.06.25-Salango.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.06.25-Salango.pdf
4246,USA,1950,Northern Hemisphere,Spring,06-Jun-50,1950.06.06,Y,1950.06.06-Guzman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.06.06-Guzman.pdf
4247,SOUTH AFRICA,1950,Southern Hemisphere,Fall,24-May-50,1950.05.24,N,1950.05.24-Tibbit.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.05.24-Tibbit.pdf
4248,ITALY,1950,Northern Hemisphere,Spring,01-May-50,1950.05.01,N,1950.05.01-Adriani.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.05.01-Adriani.pdf
4249,AUSTRALIA,1950,Southern Hemisphere,Fall,09-Apr-50,1950.04.09.b,Y,1950.04.09-McDonald.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.04.09-McDonald.pdf
4250,SOUTH AFRICA,1950,Southern Hemisphere,Fall,09-Apr-50,1950.04.09.a,N,1950.04.09.R-2Toes.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.04.09.R-2Toes.pdf
4251,SOUTH AFRICA,1950,Southern Hemisphere,Summer,26-Mar-50,1950.03.26,N,1950.03.26-Wright.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.03.26-Wright.pdf
4252,SOUTH AFRICA,1950,Southern Hemisphere,Summer,08-Mar-50,1950.03.08,Y,1950.03.08-VonBerg.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.03.08-VonBerg.pdf
4253,AUSTRALIA,1950,Southern Hemisphere,Summer,01-Mar-50,1950.03.01,Y,1950.03.01-Szott.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.03.01-Szott.pdf
4254,AUSTRALIA,1950,Southern Hemisphere,Summer,Reported 18-Feb-1950,1950.02.18.R,N,1950.02.18.R-Perth.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.02.18.R-Perth.pdf
4255,SOUTH AFRICA,1950,Southern Hemisphere,Summer,11-Feb-50,1950.02.11,Y,1950.02.11-Dumayne.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.02.11-Dumayne.pdf
4256,USA,1950,Northern Hemisphere,Winter,16-Jan-50,1950.01.16,Y,1950.01.16-Hotta.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.01.16-Hotta.pdf
4257,AUSTRALIA,1950,Southern Hemisphere,Summer,Reported 12-Jan-1950,1950.01.12.R,N,1950.01.12.R-Martin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1950.01.12.R-Martin.pdf
