Date,Year,Type,Area,Location,Activity,Sex,Fatal (Y/N),Species
1937-06-28,1937,Unprovoked,Unknown,Salonika?,Unknown,Unknown,Y,
1937-06-15,1937,Provoked,New South Wales,"Wallamba River, near entrance to Wallis Lake",Unknown,M,N,Whaler Shark
1937-06-15,1937,Unprovoked,Texas,Galveston,Swimming,M,Y,
1937-05-30,1937,Provoked,Texas,Galveston,Fishing,M,N,Shark
1937-05-15,1937,Unprovoked,Queensland,"Ross River, Townsville",Unknown,M,Y,Shark
1937-03-26,1937,Invalid,New South Wales,South Cronulla,Bathing,M,Unknown,Shark
1937-03-09,1937,Invalid,Victoria,Port Melbourne,Swimming,M,Unknown,Shark
1937-02-13,1937,Unprovoked,New South Wales,"Bar Beach, Newcastle",Swimming,M,Y,White Shark
1937-02-11,1937,Unprovoked,New South Wales,Kempsey,Unknown,M,N,
1937-02-04,1937,Boating,New South Wales,Botany Bay,Fishing,Unknown,N,
1937-02-03,1937,Provoked,Queensland,Moreton Island,Fishing,M,N,Shark
1937-02-02,1937,Invalid,South Australia,Port Germein,Unknown,M,Unknown,Shark
1937-01-27,1937,Provoked,New South Wales,"Lake Conjola, near Milton",Unknown,M,N,Nurse Shark
1937-01-01,1937,Unprovoked,Torres Strait,Unknown,Unknown,M,N,
1936-12-30,1936,Unprovoked,Hawaii,"Honokohau, Maui",Unknown,M,N,Shark
1936-12-19,1936,Boating,Queensland,Brisbane River,Unknown,Unknown,N,Shark
1936-12-15,1936,Provoked,New South Wales,Newcastle Harbor,Unknown,Unknown,N,
1936-12-12,1936,Unprovoked,New South Wales,"Throsby Creek, Newcastle",Swimming,M,Y,
1936-12-01,1936,Boating,Victoria,Mordialloc,Fishing,M,Y,White Shark
1936-11-27,1936,Provoked,Torres Strait,Near Thursday Island,Spearfishing,M,N,Shark
1936-09-11,1936,Unknown,Unknown,Saigon,Unknown,M,Y,
1936-09-04,1936,Unprovoked,Hawaii,"Lahaina, Maui",Swimming,M,N,
1936-08-24,1936,Unprovoked,Torres Strait,Near Mabuiag Island,Unknown,M,N,Tiger Shark
1936-08-13,1936,Unprovoked,Fishing Grounds,Unknown,Unknown,M,N,
1936-08-11,1936,Provoked,Newfoundland,Georges Bank,Unknown,Unknown,N,Shovelnose Shark
1936-08-04,1936,Unprovoked,Torres Strait,Bathurst Island,Pearl Diving,M,N,
1936-08-01,1936,Boating,North Carolina,"Pamlico Sound off Frisco, Dare County",Fishing,M,N,
1936-07-25,1936,Unprovoked,Massachusetts,"Hollywood Beach, just above Mattapoisett Harbor, Buzzards Bay",Unknown,M,Y,White Shark
1936-07-12,1936,Boating,New Jersey,"Long Branch, Monmouth County (offshore)",Unknown,Unknown,N,Blue Shark
1936-07-07,1936,Unprovoked,Torres Strait,Off Nepean Island,Diving,M,N,
1936-07-01,1936,Boating,Western Cape Province,Cape Point,Unknown,Unknown,N,
1936-06-26,1936,Unprovoked,Torres Strait,Nepean Island,Unknown,M,Y,Tiger Shark
1936-06-06,1936,Unprovoked,Florida,"Boca Ciega Bay, Pinellas County",Swimming,M,Y,
1936-04-22,1936,Unprovoked,Queensland,Arlington Reef near Cairns,Unknown,M,N,Tiger Shark
1936-04-08,1936,Unprovoked,Queensland,Arlington Reef near Cairns,Diving,M,N,
1936-03-30,1936,Provoked,Florida,"Miami, Miami-Date County",Fishing,M,N,Shark
1936-03-22,1936,Unprovoked,Torres Strait,"Near Shelburne Bay, Queenland",Unknown,M,N,
1936-03-19,1936,Unprovoked,Queensland,"Near Forbes Island, Barrier Reef",Unknown,M,N,
1936-03-04,1936,Boating,Northern Territory,Between Cape Hotham & Darwin (50 miles from Darwin),Unknown,Unknown,N,
1936-02-23,1936,Provoked,New South Wales,"Angourie, near Yamba",Unknown,F,N,
1936-02-20,1936,Unprovoked,Queensland,Brisbane River,Unknown,M,N,Shark
1936-02-04,1936,Unprovoked,New South Wales,"South Steyne, Manly",Swimming,M,Y,White Shark
1936-01-22,1936,Unprovoked,South Australia,"West Beach, near Adelaide",Unknown,M,Y,White Shark
1936-01-05,1936,Invalid,Queensland,"Main Beach, Southport",Surfing,M,Unknown,Shark
1936-01-01,1936,Provoked,New South Wales,North Bondi,Unknown,M,N,Shark
1936-01-01,1936,Unprovoked,Victoria,"Port Phillip Bay, Port Melbourne",Swimming,M,Y,
1935-12-23,1935,Provoked,Victoria,150 yards from the pier at Lorne,Unknown,Unknown,N,Shark
1935-11-13,1935,Unprovoked,Torres Strait,Barrier Reef near Innisfail,Unknown,M,N,
1935-09-21,1935,Unprovoked,North Carolina,"Browns Inlet on New River, Onslow Beach",Swimming,M,Y,
1935-09-04,1935,Unprovoked,Central Province,Hula,Swimming,M,Y,
1935-08-26,1935,Unprovoked,Queensland,"At Flat Top, near Mackay",Unknown,M,Y,Shark
1935-08-24,1935,Invalid,Isle of Wight,Atherfield,Fishing,M,Unknown,
1935-08-13,1935,Unprovoked,Torres Strait,"Near Warrior Reefs, Queensland",Unknown,M,Y,
1935-07-27,1935,Invalid,California,Santa Barbara Channel,Unknown,M,Unknown,
1935-07-27,1935,Invalid,California,Santa Barbara Channel,Unknown,M,Unknown,
1935-07-05,1935,Unprovoked,Unknown,off Culebra,Unknown,M,Y,
1935-07-01,1935,Unprovoked,Adriatic Sea,"Susak / Fiume (Rijeka, Istria)",Swimming,F,Y,
1935-06-18,1935,Unprovoked,New Jersey,50 miles offshore,Unknown,M,N,Shark
1935-06-05,1935,Unprovoked,Makira-Uluwa Province,Makira Island,Fishing,M,Y,
1935-06-05,1935,Boating,South Australia,Off Port Broughton,Unknown,Unknown,N,
1935-06-01,1935,Unprovoked,Northern (Oro) Province,"Dobu Passage,D'Entrecasteaux Islands (between Normanby & Fergusson Islands)",Unknown,Unknown,N,
1935-05-19,1935,Provoked,KwaZulu-Natal,"North Pier, Durban",Unknown,M,N,White Shark
