,Year,Month,Time_Day,Country,Activity,Sex,Fatal_Injury,Age
3693,1961,February,Unknown,Usa,Cleaning a tank,M,N,30
3694,1961,February,Afternoon,Australia,Standing,F,N,Unknown
3695,1961,February,Unknown,Jamaica,Unknown,M,Y,Unknown
3696,1961,February,Afternoon,South africa,Spearfishing,M,N,27
3697,1961,February,Noon,South africa,Swimming,M,Y,14
3698,1961,February,Unknown,Australia,Collecting crayfish,M,N,Unknown
3699,1961,February,Unknown,Usa,Unknown,M,N,Unknown
3700,1961,January,Unknown,South africa,Fishing,Unknown,N,Unknown
3701,1961,January,Noon,South africa,Swimming,M,N,15
3702,1961,January,Morning,Australia,Collecting aquarium specimens,M,N,27
3703,1961,January,Evening,South africa,Standing,M,N,13
3704,1961,January,Unknown,Atlantic ocean,Pacific seafarer of us navy,Unknown,Y,Unknown
3705,1961,January,Unknown,Australia,Fishing,M,N,Unknown
3706,1961,January,Afternoon,Mozambique,Swimming,M,N,Unknown
3707,1961,January,Afternoon,South africa,Standing,M,N,25
3708,1961,January,Unknown,South africa,Unknown,Unknown,Y,Unknown
3709,1961,January,Unknown,Australia,Ocean racing,Unknown,N,Unknown
3710,1961,Unknown,Unknown,Australia,Fishing,Unknown,N,Unknown
