Year,Country,Sex,Activity,Type,Fatal
2012,USA,M,Swimming,Unprovoked,N
2012,USA,M,Swimming,Unprovoked,N
2012,Australia,M,Surfing,Unprovoked,N
2012,Italy,M,Attempting to rescue an injured & beached shark,Provoked,N
2012,Australia,M,Surf skiing ,Unprovoked,N
2012,USA,F,Surfing,Unprovoked,N
2012,USA,M,Boogie Boarding,Unprovoked,N
2012,USA,F,Wading,Unprovoked,N
2012,Mexico,M,Free diving / spearfishing,Unprovoked,N
2012,USA,M,Surfing,Unprovoked,N
2012,USA,M,Kayak Fishing,Unprovoked,N
2012,Fiji,M,Spearfishing,Unprovoked,N
2012,USA,M,Kayaking / Fishing,Unprovoked,N
2012,USA,F,Swimming,Unprovoked,N
2012,USA,F,Paddle boarding,Unprovoked,N
2012,USA,M,Surfing,Unprovoked,N
2012,South Africa,M,Body boarding,Unprovoked,Y
2012,Australia,M,Kayaking,Unprovoked,N
2012,USA,M,Surfing,Unprovoked,N
2012,USA,M,,Unprovoked,N
2012,Australia,M,Scuba diving,Unprovoked,Y
2012,USA,M,Surfing,Unprovoked,N
2012,Australia,Unkown,Crayfishing,Boat,N
2012,Australia,M,Surfing,Unprovoked,N
2012,USA,M,Surfing,Unprovoked,N
2012,USA,F,Surfing,Unprovoked,N
2012,USA,M,Surfing,Unprovoked,N
2012,New Zealand,M,Surfing,Unprovoked,N
2012,Australia,F,"Diving, feeding sharks",Provoked,N
2012,Reunion,M,Body boarding,Unprovoked,N
